Time (UTC),Altitude,Wind Speed Avg (km/h),Wind Speed Min (km/h),Wind Speed Max (km/h),Wind Heading (degrees),Wind Ts,Score
2024-02-11 11:56:26,460,14.5,10.0,19.5,225.0,2024-02-11 11:57:31,4
2024-02-11 12:05:14,458,15.5,8.0,24.0,225.0,2024-02-11 12:07:35,7
2024-02-11 12:13:01,460,12.0,5.75,16.5,225.0,2024-02-11 12:12:37,6
2024-02-11 12:17:03,462,14.5,10.5,21.0,225.0,2024-02-11 12:17:37,1
2024-02-11 12:23:17,479,13.5,6.0,21.0,225.0,2024-02-11 12:22:40,12
2024-02-11 12:25:18,490,16.5,11.0,21.5,225.0,2024-02-11 12:27:40,11
2024-02-11 12:31:21,511,16.0,10.0,22.0,225.0,2024-02-11 12:32:43,37
2024-02-11 12:35:23,528,18.5,12.5,27.0,225.0,2024-02-11 12:37:43,15
2024-02-11 12:41:44,472,21.0,12.5,28.5,225.0,2024-02-11 12:42:47,38
2024-02-11 12:45:46,461,18.5,13.0,26.0,225.0,2024-02-11 12:47:47,11
2024-02-11 12:51:03,470,18.5,7.0,29.0,225.0,2024-02-11 12:52:50,38
2024-02-11 12:56:02,489,21.5,16.0,32.0,225.0,2024-02-11 12:57:50,45
2024-02-11 13:02:05,485,21.0,15.5,29.0,225.0,2024-02-11 13:02:52,0
2024-02-11 13:12:57,457,16.5,7.75,25.0,225.0,2024-02-11 13:12:56,15
2024-02-11 13:15:59,469,14.0,9.75,20.5,225.0,2024-02-11 13:17:56,0
2024-02-11 13:23:19,480,13.5,10.0,22.0,202.5,2024-02-11 13:22:58,4
2024-02-11 13:27:21,474,17.0,11.5,22.5,202.5,2024-02-11 13:27:58,6
2024-02-11 13:35:26,469,16.5,11.5,22.0,225.0,2024-02-11 13:33:01,0
2024-02-11 13:37:27,472,15.0,10.5,19.5,202.5,2024-02-11 13:38:01,3
2024-02-11 13:42:41,471,15.5,9.25,24.0,225.0,2024-02-11 13:43:05,18
2024-02-11 13:46:43,498,19.0,14.0,24.0,225.0,2024-02-11 13:48:05,9
2024-02-11 14:30:02,470,12.0,8.0,19.0,225.0,2024-02-11 14:28:16,2
2024-02-11 14:33:32,473,13.0,8.25,19.5,225.0,2024-02-11 14:33:20,0
2024-02-11 14:37:34,465,14.5,8.25,22.0,225.0,2024-02-11 14:38:20,0
2024-02-11 14:41:36,488,18.0,13.0,22.5,225.0,2024-02-11 14:43:23,24
2024-02-11 14:47:39,454,18.0,11.0,25.5,225.0,2024-02-11 14:48:23,16
2024-02-11 14:51:41,480,19.5,13.0,28.0,225.0,2024-02-11 14:53:26,38
2024-02-11 14:57:44,497,15.0,11.0,19.0,225.0,2024-02-11 14:58:26,0
2024-02-11 15:01:46,469,15.5,12.0,19.5,225.0,2024-02-11 15:03:29,11
2024-02-11 15:07:49,447,16.0,11.0,21.0,225.0,2024-02-11 15:08:29,15
2024-02-11 15:11:51,456,15.5,11.0,22.5,225.0,2024-02-11 15:13:32,9
2024-02-11 15:17:54,469,16.0,11.5,21.0,225.0,2024-02-11 15:18:32,3
2024-02-11 15:21:56,470,19.5,14.0,23.5,225.0,2024-02-11 15:23:34,19
2024-02-11 15:27:59,477,15.5,10.5,21.5,225.0,2024-02-11 15:28:34,3
2024-02-11 15:32:01,495,16.0,11.0,25.5,225.0,2024-02-11 15:33:38,36
2024-02-11 15:38:04,442,16.5,11.0,23.0,225.0,2024-02-11 15:38:38,22
2024-02-11 15:42:06,490,17.0,10.5,22.5,225.0,2024-02-11 15:43:41,25
2024-02-11 15:48:09,499,15.0,10.0,19.5,225.0,2024-02-11 15:48:41,2
2024-02-11 15:52:11,468,15.5,10.5,22.5,225.0,2024-02-11 15:53:44,2
2024-05-03 08:40:54,443,20.0,14.0,29.5,225.0,2024-05-03 08:41:50,24
2024-05-03 08:44:56,423,20.5,10.0,30.0,225.0,2024-05-03 08:46:50,38
2024-05-03 09:01:31,446,19.5,11.0,28.0,225.0,2024-05-03 09:01:56,25
2024-05-03 09:05:33,395,18.5,12.0,26.0,225.0,2024-05-03 09:06:56,0
2024-05-03 09:09:35,421,16.0,10.0,25.0,225.0,2024-05-03 09:11:59,30
2024-05-03 09:15:38,455,19.0,11.0,26.5,225.0,2024-05-03 09:16:59,33
2024-05-03 09:19:40,559,16.5,12.5,24.0,225.0,2024-05-03 09:22:03,92
2024-05-03 09:25:43,430,21.5,14.0,28.5,225.0,2024-05-03 09:27:03,105
2024-05-03 09:29:45,538,20.0,9.0,29.0,225.0,2024-05-03 09:32:05,166
2024-05-03 09:35:48,686,20.0,12.5,25.5,225.0,2024-05-03 09:37:05,70
2024-05-03 09:39:50,486,18.5,11.0,26.0,225.0,2024-05-03 09:42:08,1
2024-05-03 10:03:18,423,19.0,13.0,27.0,225.0,2024-05-03 10:02:14,7
2024-05-03 10:05:19,448,20.5,13.5,27.5,225.0,2024-05-03 10:07:14,60
2024-05-03 10:11:22,486,18.5,11.5,27.5,225.0,2024-05-03 10:12:18,28
2024-05-03 10:15:24,431,16.5,10.5,22.5,225.0,2024-05-03 10:17:18,25
2024-05-03 10:21:27,450,15.5,10.0,22.5,225.0,2024-05-03 10:22:21,24
2024-05-03 10:25:29,457,15.0,9.75,20.5,225.0,2024-05-03 10:27:21,14
2024-05-03 10:31:32,499,15.0,9.5,25.0,225.0,2024-05-03 10:32:24,145
2024-05-03 10:35:34,766,15.0,8.5,19.5,225.0,2024-05-03 10:37:24,119
2024-05-03 10:41:37,618,17.5,11.5,24.5,225.0,2024-05-03 10:42:27,0
2024-05-03 10:45:39,531,15.0,11.0,20.5,225.0,2024-05-03 10:47:27,29
2024-05-03 10:51:42,560,15.5,7.25,22.0,225.0,2024-05-03 10:52:30,140
2024-05-03 10:55:44,806,16.0,11.0,24.0,225.0,2024-05-03 10:57:30,103
2024-05-03 11:01:47,924,13.5,8.75,20.0,225.0,2024-05-03 11:02:33,0
2024-05-03 11:05:49,737,14.5,9.75,22.5,225.0,2024-05-03 11:07:33,176
2024-05-03 11:11:52,1146,15.0,10.5,22.5,202.5,2024-05-03 11:12:36,129
2024-05-03 11:15:54,952,14.5,9.25,19.0,225.0,2024-05-03 11:17:36,160
2024-05-03 11:21:57,865,14.5,7.75,23.0,247.5,2024-05-03 11:22:39,0
2024-05-03 11:25:59,519,17.0,12.0,23.5,225.0,2024-05-03 11:27:39,67
2024-05-03 11:32:02,617,16.5,12.0,23.0,225.0,2024-05-03 11:32:42,45
2024-05-03 11:36:04,432,17.0,8.5,23.0,225.0,2024-05-03 11:37:42,46
2024-05-03 11:42:07,464,15.5,10.0,22.5,225.0,2024-05-03 11:42:45,0
2024-05-03 13:44:48,418,8.25,3.25,15.5,225.0,2024-05-03 13:43:21,5
2024-06-06 12:02:53,392,14.0,6.5,22.5,247.5,2024-06-06 12:01:31,0
2024-06-06 12:04:54,412,10.5,2.25,21.0,247.5,2024-06-06 12:06:31,20
2024-06-06 12:10:57,381,10.5,2.0,20.0,225.0,2024-06-06 12:11:34,43
2024-06-06 12:21:31,449,15.0,7.25,26.0,247.5,2024-06-06 12:21:37,30
2024-06-06 12:25:33,410,13.0,6.5,20.0,247.5,2024-06-06 12:26:37,14
2024-06-06 12:34:53,391,11.5,7.0,18.0,247.5,2024-06-06 12:36:41,2
2024-06-06 12:47:33,421,14.5,8.0,21.0,247.5,2024-06-06 12:46:44,0
2024-06-06 12:49:34,453,14.5,7.75,21.0,225.0,2024-06-06 12:51:47,87
2024-06-06 12:55:37,542,20.0,9.5,31.0,202.5,2024-06-06 12:56:47,0
2024-06-06 12:59:39,394,16.0,8.0,25.0,202.5,2024-06-06 13:01:49,12
